id,text
1,"kali ini ya di sebelah saya sudah ada baik BG40 yang akan kita gunakan buat road party jadi dari depan kalau kita lihat, bumpernya sudah berubah total karena dia menggunakan bumper dari forest ya dimana katanya untuk baik BG40 ini adalah yang pertama di Indonesia dia ini fabrikasi, jadi bukan kasteman kalau kita lihat memang rapi sekali dan sengaja dikasih kaya spes ya kalau nanti nanti kena sesuatu benturan dia nggak langsung kena ke grill atau ke kaca depannya, lampunya sedangkan disini ada sedikit tonggolan karena disini buat ditaruh lampu ada lampu di dalam sini sama lampu fog lamp tapi inget tampu lampu kayak gini cuma dipake pas off road aja nggak usah dipake di dalam kota"
2,"di gias ada Honda Civic ya sudah dimodifikasi full carbon jadi meskipun ya kelihatan carbon yang cuma di kap mesin terus di pintu ya, tapi sebenarnya dari bagian sini sampai sini sampai flornya itu udah dijadiin carbon semua nggak cuma itu mesinnya ini langsung dari Jun Jeppak nah kalian bisa lihat mobil ini ada dibutnya BRQ dan pertanyaannya BRQ itu apa sih? BRQ itu adalah fuel katalis ya dimana bisa bekerja di mobil Benzin atau di mobil Diesel fungsinya, dia itu memperbaiki kuatasi bahan bakar dan dia bisa memperpahagiang usia bahan bakar biar nggak cepet basi cocok buat, kalau kalian punya mobil hobby jarang dipake, BR fuel tetap bagus, pakai BRQ gua udah buktikan di semua mobil gue yang Benzin maupun diesel itu semua pakai BRQ dimana karena fuel yang makin bagus karena pakai BRQ lebih irit, lebih bertenaga dan terus aja emisinya juga lebih rendah dan di sini promo nya gede banget nah lihat nih, ada hargan normal dan ada harga Gias nah yang paling asik kalau menurut gua ada promo Maxlight ya dari 3.9 jadi 2.8 juta rupiah aja makanya burung langsung ke Gias sekarang buat dapetin promo nya dan buat temen-temen yang pengen dapetin promo nya tapi nggak ke Gias bisa langsung dari Instagramnya BRQ aja karena promo C ini cuma berlaku sepanjang Gias berlangsung nah buat yang pengen langsung dateng, langsung aja kebudnya BRQ yang ada di hot 11C C16 langsung kita sesini, yuk!"
3,"jadi kita udah nyampe di nama tempatnya itu Gua Musang dan kita mampir solat di sebuah mesjid yang mirip banget kayak masjidil Harom iya, bahkan di dalam kita bisa tauwaf karena ada kabah buat manasik haji btw, ngomongin lagi overland kita tuh lagi overland gini tuh perlengkapan tuh harus bener-bener siap misalkan kita tambah di damper depan kita ada sun ladder, ada cangkul kalo misalkan mau beritanya koto semacamnya dan ngomong-ngomong soal keamanan gitu ya gak cuma buat komputer doang, tapi buat orangnya juga nah, kita selalu sedia entrostop untuk emergenci kalo ada kejutan di arei dan yang hebatnya dari entrostop ini, dia bisa entrostop di arei karena serap racun dan bakteri nah, dikeluarin semuanya baru di-stop di areinya biar diareinya beneran stop jadi kita gak perlu khawatir kalo misalkan kita salah makan atau mungkin makan makanan yang gak cocok sama perut kita karena nama juga di luar negeri ya jadi kemanapun ada pergi selalu bawa entrostop"
4,"ini ada tempat yang bisa membuka kazana kok kasana nih, pasannya jadi pokoknya lo ikutin aja kemana lah sebelum kita finish ini dia apa tempatnya pak? super spring balik papan super spring balik papan keren lah yang mendukung selama perjalanan kita pak iya iya iya yang memudahkan isteri kita dan periksa kita yang lagi ada di mana nah ini dia kantornya SSJ Balik Papan super spring GPSID ini, ini, ini model kani yang kita pakai tuh kemi X40 dia gak cuma sekedar GPS tracker tapi juga jadis kemi nya sama driver monitoring jadi bisa kecek kalau manto iya itu dia ingin tim mulut tuh main HP, meleng, hati-hati bisa, portable juga ada dan ini punya magnet kuat banget buat kalian, terutama gue juga ada jari segobranya dulu kan buat showroom nah penting banget showroom mobil itu pasang GPS begini jadi kalau misalkan nanti mobil dilakuk dan jemput dia mana balik banget ya mobil iya jadi kalau dia dilepas sensor yang nanti ada cahaya disini oh langsung ngirim sih nya langsung ngirim sih nya, ngasih tau warning oh iya, dilepas nih GPS nya ada niat buruk nih kalau penasaran langsung aja cek website dan aplikasinya GPS.ID nanti kalian bisa ada demo nya tuh gimana sih rasanya pakai tracker di mobil kita iya kita sama aja juga di tempat minis 360 pak 360 jadi buat temen-temen ini terima kasih telah ikutin video ini sampai akhir, sampai jumpa di max destination kita klikin ACN sub indo by broth3rmax"
5,"Unboxing give box HP 3 juta yang banyak gaya. Kotaknya aja nantang gini. Di dalamnya ada 3 HP sekaligus. 2 box Tecno Pova 7 yang kemarin udah kita bahas di YouTube dan karakter utama nih. Tecno Pova 7 5G. Katanya sih Next Level Stylish. Dari kotaknya emang udah beda dari pova biasanya. Kerasa lebih simple futuristik. Ada bonus power bank juga yang support wireless charging. Wow, saya suka nih. HPnya nggak cuma menang gaya, tapi fiturnya juga kecipratan rasa canggih. Lanjut di dalam kotaknya yang ada casing magnetic, charger 45W dan kabel type A2 type C. Dalam give box gede ini juga ada kartu magnetic ya, aksesoris biar HPnya kerasa lebih rame. Buat desain polosan Tecno Pova 7 5G-nya sendiri kayak gini ya, temanya pesawat luar angkasa, interstellar spaceship. Diskitar frame kameranya ada beberapa LED strip yang bisa kita custom fungsinya. Kayak timer, terus statusnya cas, status volume dan lain-lain. Gaya bener. Bagian lain yang langsung saya sadarin dari pova 7 5G ini, rasio layarnya lebih panjang dari HP standar. Dia di 20.5x banding 9. Bikin bodinya tuh berasa jadi tinggi langsing ya, genggamnya jadi mantep. Buat speknya sendiri, dia pake Dimensity 7300 5G, RAM 8GB, storage 128GB atau 256GB UFS 2.2. Jadi buat gaming udah enak kayak HP-HP 3 juta lain. Termasuk, game yang grafiknya berat dan rame, kayak Crystal of Atlant. Ini game yang kolep sama pova 7 series ya, kalau mau cobain atau malah udah main, ada kode khusus ini yang bisa diridim buat dapetin bonus, lumayan. Pova 7 5G juga ada game assistant yang punya banyak fitur ya, dari Magic Voice sampai bypass charging. Oh ya, kapasitas baterai nya 6000 mAh ya, support charging kabel sampai 45W dan wireless charging up to 30W. Ticno Pova 7 5G punya layar 6.78 inch, 144Hz Full HD+. Kamera utamanya 108MP yang bagus ya, jepretannya bisa anda lihat sendiri. HP 3 juta makin liar dah, kayak Ticno Pova 7 5G ini. Gak cuma ngasih spek dan fitur yang cakep, tapi udah berani main-main di bagian desain juga. Buat detail harga dan promo nya, bisa langsung cek ke Sosmet atau Tokor Smith Ticno Indonesia."
6,"Halo guys, David sini dan hari ini kita bakal tes kekuatan Vivo V50 Lite Sorry, sorry kejauhan tendangannya Aman, bro Aman, aman Wow, ada redo di sini Kebetulan bisa bantuin saya buat ngetes kekuatan V50 Lite Gas kan? Let's go Disklemer dulu, kita di sini buat ngetes aja Saya sebagai reviver bukan buat di tiru di rumah Kuat juga ya, walaupun udah di juggling di tenang-tenang sampai kayak tadi Berarti Vivo V50 Lite ini ga lulus ekstrim-extrim Thank you, Rido Udah bantuin ngetes seberapa kuat Vivo V50 Lite Jangan dibuat, bro Buat aja aja"
7,"Mau dapat Wuling Bingo Eevee dari creasi anda? Hah, kami jelaskan dulu. Wuling Bingo Eevee ini merupakan mobil yang keren. Iconik karena klasinya, bentuknya, dan interiornya dalamnya pun spacious. Di mana caranya dapat ini? Selain ini ada juga hadiah MacBook Pro M3 dan iPad Pro M3. Dengan cara ikuti kompetisi ilutrasi York Art Your Icon. Ini merupakan kerja sama antara Wuling Motors dan G-Caf. Jadi, kami bisa berkreasi pada mobil kami. Anda juga bisa berkreasi pada Wuling Bingo Eevee melalui ilustrasi. Hah, gimana cara ikutannya? Anda bisa buka Instagramnya Wuling Motors ID dan G-Caf. Ayo ikut kompetisi ini. Hah, tapan lagi bisa dapat Wuling Bingo Eevee ini. Bukan yang ini, yang baru. Your Art Your Icon."
8,"Akhirnya Aletra kabis sampai! Nihihi! Kita turunin. Mana kita? Nuruninnya gampang sekali karena ada ke amerah. 160. Ini kuncinya, Ong. Ah, oh! Gede banget kuncinya, nggak muat lagi di kantong. Hahaha. Mengsekali. Dapat apa aja nih Aletra kita? Untuk Aletra kita udah dapat portable chargingnya. Dapat carpet juga, cover mobil. Uiih cover mobil. Sebenarnya kaca film, kami request tidak dipasangin karena kami pasang sendiri. Kalau Anda personen, Anda pasti dapat. Nah ini kan agak terlambat nih. Ada kompensasi nggak? Jadi khusus untuk yang dari pembelian sofloncing sampai ke promogias itu dapat deskam. Oh iya yang sofloncing, kami kan beli pas sofloncing. Ini agak sedikit terlambat tapi dapat deskam lumayan. Ini kelengkapannya. Kita dapat carpet, portable charger, dapet sarung mobil dan dapet deskam. Hii, nggak sabar mengajak keluarga jalan-jalan lagi nih."
9,"hari ini ada jadwal apa ya? kosol apa ini sih? itu berantem pak kedengeran, kedengeran berantem aduuh, ngapain sih dengerin orang ngomong, orang berantem kayak giba tuh ga? kedengeran pak ini kedengeran banget soalnya ini harus diperbaiki mobil ini tuh harus dipasangin perdam perdam yang terbaik noise skill semuanya keliling sampai plafonnya juga ini kalau diplafon nih, ngurangi panas juga kalau ngurangi panas, berarti kita bisa ngurangi nase ngurangi nase, berarti lebih hemat bensin ya juga ya terus tau ga? bisa ngayakan harga jual karena kalau udah pasang full noise skill, udah bisa di-vikat udah bisa di-vikat, tapi bisa tunjukin ya bisa di-vikatnya yang penting masaknya di otores dealernya nih contohnya, kita ke Begja pasang noise skill ini full, peregibah sudah terpasang sekarang, kijang kami sudah sepasang full noise skill dari plafon pintu sampai lantainya mobil lebih kedap, om genut kebisa nguping lagi lebih adem dari sinar matahari dan yang penting masaknya di otores dealernya noise skill, karena semua yang masak di-vita sudah terpersertifikasi dari noise skill, tinggal dapet sertifikat dan bisa meningkatkan harga jual mobil anda kedap lagi mobilnya terima kasih"
10,ini mobil memang harga nge-laut kaca iskaya enak sekali di Kampota emat sekali enak di Stirk dan fitur safety nya komplet tau kak kita kerasa aman di jalan crossover compact macam ini sudah komplet dengan adaptive cruise control bikin pengen pakai jalan jauh tentu juga ada lane keeping assistnya untuk menghindar bala termasuk lane departure warning dan lane departure prevention lane cross traffic alert juga ada memudahkan dan membuat keluar parkiran jadi aman ada pula blind spot monitoring jadi mobilnya bisa melihat titik buta kita vehicle swaying warning juga ada kemudian ada high beam assist juga ini kami suka sekali karena sangat membantu di malam hari tanpa menjelawakan orang lain dan yang paling penting ada dual brake support yang membantu pengemudi untuk menghindari tabrakan dan juga mengurangi kerusakan apabila terjadi kecelakaan yang tentu sudah disesuaikan dengan kondisi lalu di intas Indonesia
